Date,Real_GDP,Nominal_GDP,Personal_Consumption,Private_Investment,Government_Spending,Exports,Imports,GDP_Per_Capita,GDI,Corporate_Profits
1947-01-01,2182.681,243.164,,35.854,40.274,18.394,7.519,15248.0,240.092,21.97
1947-04-01,2176.892,245.968,,34.505,40.138,19.497,8.203,15139.0,243.209,20.788
1947-07-01,2172.432,249.585,,34.911,39.361,19.433,7.663,15039.0,247.579,20.564
1947-10-01,2206.452,259.745,,43.25,39.534,17.636,8.347,15204.0,256.122,22.451
1948-01-01,2239.682,265.742,,47.202,40.875,16.917,9.624,15371.0,265.07,23.739
1948-04-01,2276.69,272.567,,50.336,42.884,15.241,10.036,15563.0,273.654,24.941
1948-07-01,2289.77,279.196,,52.516,44.66,15.405,10.456,15585.0,278.941,24.551
1948-10-01,2292.364,280.366,,51.334,46.603,14.625,10.124,15530.0,281.223,23.76
1949-01-01,2260.807,275.034,,43.14,48.585,16.082,9.604,15250.0,274.18,21.683
1949-04-01,2253.128,271.351,,36.241,50.381,15.647,9.364,15137.0,270.661,19.172
1949-07-01,2276.424,272.889,,39.549,50.356,14.115,8.936,15228.0,270.863,19.816
1949-10-01,2257.352,270.627,,37.468,49.91,12.091,9.092,15032.0,267.232,19.457
1950-01-01,2346.104,280.828,,46.749,48.956,11.704,9.501,15559.0,277.506,20.037
1950-04-01,2417.682,290.383,,52.291,49.643,11.872,10.229,15977.0,289.932,23.815
1950-07-01,2511.127,308.153,,58.641,49.746,12.293,13.033,16524.0,307.524,28.777
1950-10-01,2559.214,319.945,,68.441,53.713,13.531,13.685,16764.0,319.297,31.581
1951-01-01,2593.967,336.0,,64.582,62.033,15.043,14.866,16922.0,332.534,26.345
1951-04-01,2638.898,344.09,,67.383,69.821,17.121,15.178,17147.0,340.649,22.589
1951-07-01,2693.259,351.385,,61.981,78.046,18.052,14.31,17420.0,346.823,20.778
1951-10-01,2699.156,356.178,,57.084,83.314,18.18,13.99,17375.0,353.871,22.592
1952-01-01,2727.954,359.82,,58.132,84.998,18.679,14.958,17490.0,356.053,22.062
1952-04-01,2733.8,361.03,,53.004,88.987,16.581,14.63,17459.0,358.604,21.295
1952-07-01,2753.517,367.701,,57.22,90.931,15.246,15.25,17509.0,365.999,21.59
1952-10-01,2843.941,380.812,,60.737,93.418,15.329,16.342,18001.0,378.271,23.752
1953-01-01,2896.811,387.98,,61.663,95.764,15.128,15.795,18268.0,385.073,24.609
1953-04-01,2919.206,391.749,,62.115,97.925,15.196,16.447,18341.0,388.515,24.658
1953-07-01,2902.785,391.171,,61.435,96.622,15.755,16.307,18155.0,387.598,24.201
1953-10-01,2858.845,385.97,,56.446,96.747,15.172,15.507,17797.0,380.524,19.351
1954-01-01,2845.192,385.345,,55.717,94.831,14.424,14.78,17636.0,382.558,21.923
1954-04-01,2848.305,386.121,,55.449,92.534,16.438,16.184,17584.0,383.6,22.529
1954-07-01,2880.482,390.996,,58.971,91.148,15.878,15.304,17701.0,387.551,23.813
1954-10-01,2936.852,399.734,,62.139,91.356,16.605,15.46,17960.0,396.846,25.515
1955-01-01,3020.746,413.073,,68.702,91.869,17.273,16.169,18396.0,409.644,28.583
1955-04-01,3069.91,421.532,,72.688,92.533,16.942,17.097,18621.0,419.737,29.064
1955-07-01,3111.379,430.221,,74.747,94.099,18.145,17.421,18787.0,428.228,29.843
1955-10-01,3130.068,437.092,,78.882,93.331,18.349,18.109,18808.0,435.768,31.115
1956-01-01,3117.922,439.746,,78.303,94.848,19.365,18.925,18658.0,440.533,30.601
1956-04-01,3143.694,446.01,,77.02,98.247,20.882,18.973,18736.0,447.678,31.446
1956-07-01,3140.874,451.191,,78.267,98.279,21.822,19.253,18632.0,453.772,30.211
1956-10-01,3192.57,460.463,,77.145,101.345,23.068,18.541,18845.0,463.554,31.879
