NAME_Geographic Area Name,B01001_001E_Total Population,B01002_001E_Median Age,B01002_002E_Median Age (Male),B01002_003E_Median Age (Female),B02001_002E_White Population,B02001_003E_Black Population,B02001_004E_American Indian Population,B02001_005E_Asian Population,B03003_003E_Hispanic or Latino Population,B19013_001E_Median Household Income,B19301_001E_Per Capita Income,B17001_002E_Population Below Poverty Level,B23025_002E_Total Labor Force,B23025_003E_Labor Force - Employed,B23025_004E_Labor Force - Unemployed,B23025_005E_Not in Labor Force,B25077_001E_Median Home Value,B25064_001E_Median Gross Rent,B25002_002E_Occupied Housing Units,B25002_003E_Vacant Housing Units,B15003_022E_Bachelor's Degree,B15003_023E_Master's Degree,B15003_024E_Professional Degree,B15003_025E_Doctorate Degree,B08301_001E_Total Commuters,B08301_010E_Public Transportation Commuters,B27001_001E_Total Healthcare Coverage,B27001_002E_With Health Insurance,B27001_003E_No Health Insurance,B11001_001E_Total Households,B11001_002E_Family Households,B11001_007E_Non-family Households,state,county,year
"Coosa County, Alabama",11027.0,45.1,44.6,45.6,7427.0,3384.0,7.0,0.0,237.0,31212.0,17519.0,2073.0,4642.0,4642.0,3852.0,790.0,78300.0,597.0,4450.0,2012.0,408.0,219.0,25.0,27.0,3702.0,19.0,10750.0,5340.0,330.0,4450.0,2798.0,1652.0,01,037,2015-12-31
"Dale County, Alabama",49866.0,36.8,34.0,39.4,37232.0,9798.0,258.0,588.0,2980.0,45028.0,22566.0,9306.0,23293.0,21030.0,18735.0,2295.0,101700.0,629.0,19018.0,3804.0,3599.0,1481.0,251.0,106.0,20714.0,29.0,47170.0,22407.0,1998.0,19018.0,12611.0,6407.0,01,045,2015-12-31
"Hale County, Alabama",15256.0,40.2,38.2,41.7,6097.0,8886.0,43.0,42.0,170.0,32714.0,18877.0,4011.0,6094.0,6094.0,5282.0,812.0,87400.0,460.0,5927.0,1714.0,1018.0,263.0,118.0,26.0,5129.0,2.0,14998.0,7048.0,570.0,5927.0,3898.0,2029.0,01,065,2015-12-31
"Etowah County, Alabama",103766.0,40.8,39.3,42.2,84312.0,16025.0,343.0,679.0,3740.0,39220.0,20500.0,20078.0,45419.0,45327.0,41236.0,4091.0,100400.0,621.0,39899.0,7601.0,7210.0,3026.0,845.0,404.0,40177.0,133.0,102735.0,49728.0,3748.0,39899.0,27595.0,12304.0,01,055,2015-12-31
"DeKalb County, Alabama",71068.0,39.3,38.2,40.4,61415.0,1295.0,877.0,219.0,9957.0,38192.0,18411.0,13133.0,30102.0,30100.0,27778.0,2322.0,98500.0,540.0,25013.0,6045.0,2969.0,1729.0,396.0,186.0,27345.0,12.0,70374.0,35098.0,3074.0,25013.0,17607.0,7406.0,01,049,2015-12-31
"Escambia County, Alabama",37935.0,40.3,39.4,41.1,23303.0,12678.0,1207.0,49.0,466.0,32330.0,17045.0,8609.0,14572.0,14572.0,12294.0,2278.0,93800.0,560.0,13659.0,2776.0,2178.0,793.0,214.0,76.0,12057.0,52.0,35607.0,17316.0,1433.0,13659.0,9177.0,4482.0,01,053,2015-12-31
"Lamar County, Alabama",14133.0,43.7,42.7,44.3,12350.0,1565.0,40.0,3.0,196.0,35450.0,20130.0,3382.0,6023.0,6001.0,5391.0,610.0,67900.0,426.0,6138.0,1176.0,686.0,379.0,54.0,33.0,5321.0,6.0,13989.0,6761.0,495.0,6138.0,4392.0,1746.0,01,075,2015-12-31
"Randolph County, Alabama",22648.0,42.8,42.0,44.4,17486.0,4520.0,58.0,38.0,668.0,36924.0,19363.0,4511.0,9621.0,9621.0,8630.0,991.0,85800.0,603.0,8915.0,3025.0,1472.0,763.0,44.0,65.0,8405.0,44.0,22412.0,10990.0,784.0,8915.0,5978.0,2937.0,01,111,2015-12-31
"Butler County, Alabama",20354.0,40.5,39.0,41.6,11023.0,8961.0,13.0,81.0,240.0,32229.0,18390.0,5094.0,8802.0,8770.0,7813.0,957.0,78900.0,575.0,8056.0,1863.0,1173.0,631.0,131.0,97.0,7744.0,0.0,20070.0,9352.0,746.0,8056.0,5271.0,2785.0,01,013,2015-12-31
"Mobile County, Alabama",414251.0,37.0,35.7,38.3,248566.0,145175.0,2680.0,8148.0,10917.0,43809.0,22953.0,77917.0,190415.0,189544.0,170900.0,18644.0,122400.0,788.0,154188.0,26744.0,39950.0,14200.0,3512.0,2343.0,168706.0,873.0,406218.0,192091.0,16521.0,154188.0,103554.0,50634.0,01,097,2015-12-31
"Perry County, Alabama",10038.0,36.3,35.3,38.5,3075.0,6829.0,4.0,44.0,93.0,24537.0,14804.0,3373.0,3227.0,3227.0,2865.0,362.0,66300.0,512.0,3450.0,1261.0,440.0,286.0,28.0,56.0,2782.0,5.0,9888.0,4592.0,422.0,3450.0,2292.0,1158.0,01,105,2015-12-31
"Walker County, Alabama",65923.0,42.4,41.4,43.6,60067.0,3801.0,42.0,246.0,1493.0,35843.0,20166.0,14598.0,27142.0,27132.0,24043.0,3089.0,82800.0,584.0,25602.0,5071.0,2995.0,1332.0,466.0,161.0,23508.0,76.0,65219.0,31549.0,2311.0,25602.0,17977.0,7625.0,01,127,2015-12-31
"Cleburne County, Alabama",15002.0,41.3,41.0,41.5,14098.0,442.0,33.0,53.0,345.0,38056.0,20151.0,2508.0,6614.0,6614.0,6065.0,549.0,108000.0,557.0,5776.0,916.0,721.0,335.0,151.0,50.0,5844.0,6.0,14846.0,7251.0,486.0,5776.0,4074.0,1702.0,01,029,2015-12-31
"Conecuh County, Alabama",12865.0,43.7,42.7,44.8,6710.0,5752.0,37.0,6.0,210.0,24900.0,15968.0,4320.0,4802.0,4802.0,3718.0,1084.0,70100.0,522.0,5168.0,1902.0,400.0,270.0,52.0,10.0,3668.0,0.0,12818.0,6142.0,439.0,5168.0,3434.0,1734.0,01,035,2015-12-31
"Greene County, Alabama",8697.0,42.4,41.2,45.1,1547.0,7015.0,7.0,14.0,61.0,20541.0,13611.0,3479.0,3030.0,3030.0,2412.0,618.0,69600.0,343.0,3201.0,1793.0,460.0,132.0,51.0,5.0,2382.0,19.0,8646.0,4081.0,290.0,3201.0,1897.0,1304.0,01,063,2015-12-31
"Barbour County, Alabama",26932.0,38.8,36.6,41.9,12756.0,12595.0,52.0,244.0,1241.0,32964.0,16824.0,6421.0,10439.0,10439.0,8597.0,1842.0,92200.0,579.0,9222.0,2588.0,1412.0,745.0,131.0,66.0,8464.0,35.0,24060.0,11741.0,1012.0,9222.0,6059.0,3163.0,01,005,2015-12-31
"Bibb County, Alabama",22604.0,38.9,37.8,40.4,17327.0,4846.0,93.0,21.0,502.0,38678.0,18431.0,3488.0,9049.0,9046.0,8294.0,752.0,102700.0,651.0,7027.0,1944.0,946.0,617.0,46.0,55.0,8148.0,44.0,20770.0,10354.0,642.0,7027.0,5296.0,1731.0,01,007,2015-12-31
"Bullock County, Alabama",10678.0,39.3,37.9,40.6,2845.0,7550.0,124.0,22.0,473.0,31938.0,17580.0,2486.0,4712.0,4712.0,3865.0,847.0,68600.0,570.0,3683.0,782.0,484.0,379.0,135.0,33.0,3848.0,28.0,10107.0,5154.0,390.0,3683.0,2333.0,1350.0,01,011,2015-12-31
