NAME_Geographic Area Name,B01001_001E_Total Population,B01002_001E_Median Age,B01002_002E_Median Age (Male),B01002_003E_Median Age (Female),B02001_002E_White Population,B02001_003E_Black Population,B02001_004E_American Indian Population,B02001_005E_Asian Population,B03003_003E_Hispanic or Latino Population,B19013_001E_Median Household Income,B19301_001E_Per Capita Income,B17001_002E_Population Below Poverty Level,B23025_002E_Total Labor Force,B23025_003E_Labor Force - Employed,B23025_004E_Labor Force - Unemployed,B23025_005E_Not in Labor Force,B25077_001E_Median Home Value,B25064_001E_Median Gross Rent,B25002_002E_Occupied Housing Units,B25002_003E_Vacant Housing Units,B15003_022E_Bachelor's Degree,B15003_023E_Master's Degree,B15003_024E_Professional Degree,B15003_025E_Doctorate Degree,B08301_001E_Total Commuters,B08301_010E_Public Transportation Commuters,B27001_001E_Total Healthcare Coverage,B27001_002E_With Health Insurance,B27001_003E_No Health Insurance,B11001_001E_Total Households,B11001_002E_Family Households,B11001_007E_Non-family Households,state,year
Alabama,4799277.0,38.1,36.6,39.4,3326188.0,1262152.0,25278.0,56831.0,188294.0,43253.0,23680.0,870631.0,2259344.0,2244093.0,2002163.0,241930.0,122500.0,705.0,1838683.0,339433.0,458393.0,187852.0,45646.0,30801.0,1973623.0,8935.0,4716915.0,2268448.0,185745.0,1838683.0,1241686.0,596997.0,01,2013-12-31
Alaska,720316.0,33.6,33.3,33.9,481638.0,25033.0,101273.0,39200.0,42832.0,70760.0,32651.0,69514.0,393037.0,376305.0,343366.0,32939.0,241800.0,1098.0,251899.0,54763.0,80447.0,31988.0,7431.0,5068.0,348457.0,5634.0,696885.0,356246.0,33634.0,251899.0,169367.0,82532.0,02,2013-12-31
Arizona,6479703.0,36.3,35.1,37.5,5131739.0,270027.0,286953.0,182953.0,1935948.0,49774.0,25358.0,1131901.0,3056508.0,3038226.0,2721866.0,316360.0,165100.0,896.0,2370289.0,489479.0,716734.0,296979.0,69819.0,48203.0,2684408.0,53840.0,6373367.0,3132045.0,273876.0,2370289.0,1563121.0,807168.0,04,2013-12-31
Arkansas,2933369.0,37.5,36.2,38.8,2295446.0,454903.0,17945.0,37776.0,192264.0,40768.0,22170.0,547328.0,1372975.0,1366667.0,1245432.0,121235.0,107300.0,661.0,1129723.0,191049.0,257157.0,93456.0,23201.0,15503.0,1225869.0,5460.0,2879435.0,1403511.0,120963.0,1129723.0,762881.0,366842.0,05,2013-12-31
California,37659181.0,35.4,34.2,36.6,23467167.0,2255372.0,286397.0,5005635.0,14270345.0,61094.0,29527.0,5885417.0,18946244.0,18804519.0,16635854.0,2168665.0,366400.0,1224.0,12542460.0,1184409.0,4753446.0,1821325.0,565907.0,360357.0,16290887.0,841628.0,37130876.0,18313932.0,1555633.0,12542460.0,8603822.0,3938638.0,06,2013-12-31
Colorado,5119329.0,36.1,35.2,37.2,4301096.0,203755.0,49177.0,141719.0,1064009.0,58433.0,31109.0,660874.0,2774490.0,2741518.0,2509777.0,231741.0,236200.0,939.0,1977591.0,245191.0,799431.0,330767.0,72800.0,51826.0,2494794.0,80504.0,5025295.0,2495121.0,209862.0,1977591.0,1269436.0,708155.0,08,2013-12-31
Delaware,908446.0,38.9,37.5,40.2,635474.0,194964.0,3010.0,30422.0,76107.0,59878.0,29819.0,103633.0,466696.0,463216.0,422009.0,41207.0,235800.0,999.0,335707.0,72158.0,105108.0,50483.0,11201.0,9745.0,416163.0,13288.0,893326.0,429139.0,34137.0,335707.0,226784.0,108923.0,10,2013-12-31
District of Columbia,619371.0,33.8,33.7,34.0,248141.0,310530.0,1990.0,21845.0,59479.0,65830.0,45290.0,109200.0,357458.0,354171.0,315177.0,38994.0,445200.0,1242.0,263649.0,34678.0,97641.0,74657.0,36137.0,16848.0,312875.0,120076.0,608630.0,285244.0,21622.0,263649.0,112278.0,151371.0,11,2013-12-31
Connecticut,3583561.0,40.2,38.7,41.5,2792554.0,361668.0,8770.0,141709.0,496939.0,69461.0,37892.0,354348.0,1958723.0,1950121.0,1759412.0,190709.0,278900.0,1056.0,1355849.0,131146.0,498124.0,283662.0,70744.0,38390.0,1727286.0,80574.0,3526628.0,1710131.0,122225.0,1355849.0,903577.0,452272.0,09,2013-12-31
Florida,19091156.0,41.0,39.6,42.4,14568521.0,3056152.0,58390.0,475905.0,4369920.0,46956.0,26236.0,3052807.0,9355809.0,9298664.0,8202636.0,1096028.0,160200.0,990.0,7158980.0,1844953.0,2253937.0,854996.0,265198.0,141781.0,8094220.0,166027.0,18778532.0,9095765.0,660884.0,7158980.0,4629753.0,2529227.0,12,2013-12-31
