NAME,B01001_001E,B01002_001E,B19013_001E,B19301_001E,B23025_002E,B23025_003E,B23025_004E,B25077_001E,B25064_001E,B15003_022E,B15003_023E,B15003_024E,B15003_025E,state,county
"Autauga County, Alabama",58761.0,39.0,68315.0,35332.0,28106.0,27163.0,26411.0,191800.0,1199.0,6726.0,4014.0,702.0,437.0,01,001
"Baldwin County, Alabama",233420.0,43.7,71039.0,38907.0,111766.0,111079.0,107254.0,266000.0,1160.0,33474.0,15077.0,3483.0,2351.0,01,003
"Barbour County, Alabama",24877.0,40.6,39712.0,23378.0,8968.0,8968.0,8452.0,102700.0,627.0,1167.0,640.0,188.0,105.0,01,005
"Bibb County, Alabama",22251.0,40.3,50669.0,24966.0,9028.0,9028.0,8242.0,120100.0,765.0,1047.0,507.0,109.0,76.0,01,007
"Blount County, Alabama",59077.0,40.8,57440.0,29053.0,26459.0,26434.0,24856.0,159800.0,734.0,3840.0,1751.0,270.0,156.0,01,009
"Bullock County, Alabama",10328.0,39.2,36136.0,22115.0,3888.0,3888.0,3744.0,87700.0,619.0,492.0,93.0,53.0,33.0,01,011
"Butler County, Alabama",18981.0,41.6,44429.0,26334.0,8047.0,8043.0,7495.0,94800.0,720.0,1029.0,542.0,139.0,21.0,01,013
"Calhoun County, Alabama",116162.0,39.2,54339.0,28227.0,53521.0,53147.0,49455.0,140500.0,806.0,9098.0,4121.0,888.0,1011.0,01,015
"Chambers County, Alabama",34612.0,42.2,48805.0,27006.0,15691.0,15631.0,15072.0,116900.0,842.0,2273.0,737.0,81.0,55.0,01,017
"Cherokee County, Alabama",25069.0,46.8,46621.0,28422.0,10713.0,10713.0,10288.0,158700.0,700.0,1530.0,832.0,240.0,101.0,01,019
"Chilton County, Alabama",45140.0,39.9,62471.0,28497.0,19921.0,19921.0,18865.0,136000.0,814.0,2504.0,1551.0,115.0,107.0,01,021
"Choctaw County, Alabama",12669.0,46.7,43299.0,26343.0,4781.0,4781.0,4532.0,101600.0,616.0,873.0,283.0,15.0,10.0,01,023
"Clarke County, Alabama",23058.0,42.7,47549.0,29310.0,8967.0,8957.0,7841.0,126200.0,723.0,1346.0,705.0,113.0,41.0,01,025
"Clay County, Alabama",14209.0,43.9,48074.0,27991.0,5513.0,5480.0,5165.0,144100.0,576.0,926.0,279.0,78.0,0.0,01,027
"Cleburne County, Alabama",15144.0,42.2,51553.0,28598.0,5844.0,5844.0,5692.0,131900.0,782.0,1172.0,476.0,72.0,33.0,01,029
"Coffee County, Alabama",53559.0,39.2,62199.0,31227.0,24401.0,22899.0,21804.0,162200.0,921.0,4786.0,2424.0,362.0,327.0,01,031
"Colbert County, Alabama",57270.0,42.0,56149.0,30724.0,26546.0,26492.0,25589.0,148500.0,810.0,4578.0,1821.0,559.0,410.0,01,033
"Conecuh County, Alabama",11576.0,46.2,39888.0,24426.0,3928.0,3928.0,3757.0,98800.0,718.0,642.0,316.0,40.0,118.0,01,035
"Coosa County, Alabama",10329.0,50.2,52279.0,28998.0,4096.0,4046.0,3868.0,109500.0,632.0,578.0,195.0,61.0,22.0,01,037
"Covington County, Alabama",37542.0,42.9,48772.0,28528.0,16001.0,15967.0,15090.0,124300.0,701.0,2585.0,1280.0,313.0,135.0,01,039
"Crenshaw County, Alabama",13205.0,42.3,48557.0,32396.0,5492.0,5464.0,5132.0,100400.0,595.0,1092.0,405.0,61.0,15.0,01,041
"Cullman County, Alabama",88284.0,41.4,58119.0,29788.0,41231.0,41229.0,39440.0,166000.0,848.0,7463.0,3105.0,491.0,197.0,01,043
"Dale County, Alabama",49455.0,37.7,52813.0,28312.0,21870.0,19642.0,18115.0,123800.0,829.0,4360.0,1654.0,279.0,162.0,01,045
