NAME,B01001_001E,B01002_001E,B19013_001E,B19301_001E,B23025_002E,B23025_003E,B23025_004E,B25077_001E,B25064_001E,B15003_022E,B15003_023E,B15003_024E,B15003_025E,state
Alabama,5028092.0,39.3,59609.0,33344.0,2345086.0,2329696.0,2209666.0,179400.0,925.0,572252.0,261039.0,56574.0,42980.0,01
Alaska,734821.0,35.3,86370.0,42828.0,383078.0,362197.0,339162.0,318000.0,1345.0,93744.0,39645.0,9589.0,6419.0,02
Arizona,7172282.0,38.4,72581.0,38334.0,3490030.0,3467247.0,3281189.0,321400.0,1308.0,958447.0,429317.0,93897.0,69793.0,04
Arkansas,3018669.0,38.4,56335.0,31868.0,1397075.0,1391084.0,1319483.0,162400.0,868.0,317437.0,134754.0,29822.0,19966.0,05
California,39356104.0,37.3,91905.0,45591.0,20168662.0,20011853.0,18729798.0,659300.0,1856.0,5935292.0,2515475.0,687281.0,488925.0,06
Colorado,5770790.0,37.3,87598.0,47346.0,3205413.0,3165225.0,3021742.0,465900.0,1594.0,1083618.0,481793.0,100044.0,76234.0,08
Connecticut,3611317.0,40.9,90213.0,52034.0,1955341.0,1947575.0,1832525.0,323700.0,1374.0,573917.0,341203.0,81685.0,46421.0,09
Delaware,993635.0,41.4,79325.0,42180.0,505728.0,501770.0,474455.0,305200.0,1286.0,139213.0,75033.0,13180.0,13931.0,10
District of Columbia,670587.0,34.8,101722.0,71297.0,400930.0,397662.0,369398.0,705000.0,1817.0,124860.0,109410.0,48095.0,21167.0,11
Florida,21634529.0,42.4,67917.0,38850.0,10629693.0,10555633.0,10023737.0,292200.0,1444.0,3154240.0,1308569.0,372331.0,202326.0,12
Georgia,10722325.0,37.2,71355.0,37836.0,5406476.0,5350069.0,5069418.0,245900.0,1221.0,1464589.0,669304.0,165134.0,108680.0,13
Hawaii,1450589.0,39.9,94814.0,42683.0,760387.0,710984.0,675071.0,764800.0,1868.0,227243.0,85984.0,25539.0,16217.0,15
Idaho,1854109.0,36.9,70214.0,34919.0,912877.0,907617.0,873463.0,331600.0,1061.0,244372.0,85760.0,20684.0,15407.0,16
Illinois,12757634.0,38.7,78433.0,43198.0,6697663.0,6678194.0,6280447.0,239100.0,1179.0,1924339.0,938097.0,214115.0,130899.0,17
Indiana,6784403.0,38.0,67173.0,35578.0,3446205.0,3441316.0,3286714.0,183600.0,967.0,815853.0,342003.0,69602.0,52190.0,18
Iowa,3188836.0,38.4,70571.0,37949.0,1695226.0,1692129.0,1627434.0,181600.0,914.0,433380.0,148289.0,36031.0,27629.0,19
