NAME_Geographic Area Name,P001001_Total Population,P003001_Total Race Population,P003002_White Alone,P003003_Black or African American Alone,P003004_American Indian and Alaska Native Alone,P003005_Asian Alone,P012001_Total Population by Sex by Age,H001001_Total Housing Units,H003001_Total Occupied Housing Units,H003002_Occupied Housing Units,H003003_Vacant Housing Units,state,county,year
"Autauga County, Alabama",54571,54571.0,42855.0,9643.0,232.0,474.0,54571.0,22135.0,22135.0,20221.0,1914.0,01,001,2010-12-31
"Bibb County, Alabama",22915,22915.0,17381.0,5047.0,64.0,22.0,22915.0,8981.0,8981.0,7953.0,1028.0,01,007,2010-12-31
"Chambers County, Alabama",34215,34215.0,20112.0,13257.0,69.0,168.0,34215.0,17004.0,17004.0,13933.0,3071.0,01,017,2010-12-31
"Cherokee County, Alabama",25989,25989.0,24081.0,1208.0,135.0,54.0,25989.0,16267.0,16267.0,10626.0,5641.0,01,019,2010-12-31
"Clarke County, Alabama",25833,25833.0,14070.0,11336.0,103.0,77.0,25833.0,12638.0,12638.0,10337.0,2301.0,01,025,2010-12-31
"Butler County, Alabama",20947,20947.0,11399.0,9095.0,60.0,177.0,20947.0,9964.0,9964.0,8491.0,1473.0,01,013,2010-12-31
"Blount County, Alabama",57322,57322.0,53068.0,761.0,307.0,117.0,57322.0,23887.0,23887.0,21578.0,2309.0,01,009,2010-12-31
"Bullock County, Alabama",10914,10914.0,2507.0,7666.0,23.0,20.0,10914.0,4493.0,4493.0,3745.0,748.0,01,011,2010-12-31
"Chilton County, Alabama",43643,43643.0,36713.0,4230.0,155.0,130.0,43643.0,19278.0,19278.0,16558.0,2720.0,01,021,2010-12-31
"Choctaw County, Alabama",13859,13859.0,7731.0,6012.0,18.0,12.0,13859.0,7269.0,7269.0,5866.0,1403.0,01,023,2010-12-31
"Coosa County, Alabama",11539,11539.0,7648.0,3582.0,40.0,16.0,11539.0,6478.0,6478.0,4794.0,1684.0,01,037,2010-12-31
